Crop,Area_hectares,Temperature_C,Rainfall_mm,N_kg_ha,P_kg_ha,K_kg_ha,Fertilizer_kg_ha,Irrigation_percent,Yield_tons_per_hectare
banana,7.42,29.87,948.8,92.0,35.7,98.9,198.4,66.9,27.95
pomegranate,3.54,28.94,787.8,53.9,23.3,45.5,108.3,42.9,11.97
banana,3.49,29.44,1254.2,86.1,38.0,52.0,216.9,77.0,31.93
pomegranate,7.77,25.87,821.7,62.2,22.8,45.2,89.7,42.7,10.75
cotton,3.37,27.5,718.5,87.1,26.8,39.8,144.4,50.9,2.58
grapes,5.23,29.05,669.3,43.5,22.9,41.0,132.8,49.1,10.01
kidneybeans,4.67,14.71,435.7,49.6,46.9,31.7,113.4,33.0,1.07
blackgram,8.22,24.2,653.7,43.4,36.3,13.7,74.6,33.7,1.43
coconut,19.49,21.09,1395.6,76.7,39.1,62.2,157.7,71.0,7.28
grapes,6.87,23.58,623.1,37.5,23.6,35.9,83.9,52.6,9.63
pomegranate,3.97,25.18,480.0,52.2,30.7,50.7,83.3,12.8,10.47
mothbeans,9.06,26.32,678.2,35.0,23.5,22.2,90.3,28.2,0.88
kidneybeans,2.72,17.98,526.4,81.5,44.2,41.0,105.0,10.0,1.18
watermelon,7.53,28.38,464.4,64.8,29.7,55.4,114.0,19.0,19.48
cotton,11.94,28.62,900.2,83.1,39.5,47.4,135.0,33.8,2.49
papaya,7.53,30.2,863.9,106.3,32.0,66.5,115.5,73.5,34.83
mothbeans,6.52,33.5,601.0,32.4,34.7,33.2,47.2,39.9,0.86
lentil,2.02,17.49,539.0,46.7,28.9,31.5,104.2,17.6,1.66
maize,14.26,34.7,522.0,97.7,56.8,51.3,161.0,55.4,7.98
mothbeans,8.65,31.13,361.6,29.4,23.5,28.1,66.0,31.4,1.37
grapes,8.02,20.63,781.4,59.5,38.3,39.2,103.8,10.0,10.63
coffee,1.33,20.05,1956.1,92.4,27.8,45.3,85.0,50.5,2.08
mungbean,2.95,22.91,531.9,40.6,25.9,30.6,40.0,38.9,0.95
banana,14.16,19.85,1411.4,96.7,25.7,60.4,153.7,75.5,26.42
mango,5.52,25.52,996.8,65.9,29.2,57.3,99.1,49.4,9.91
blackgram,8.9,28.44,669.5,43.8,34.7,35.9,80.4,36.0,1.4
kidneybeans,20.66,20.25,926.7,67.4,57.1,45.0,96.2,31.8,2.19
cotton,12.09,31.34,789.8,111.7,25.0,50.0,102.0,64.0,2.1
coffee,7.12,26.64,1633.0,74.6,40.8,54.6,121.5,60.9,2.18
cotton,10.07,31.04,802.9,91.0,35.8,44.1,122.0,76.6,2.7
kidneybeans,11.64,14.69,521.0,65.5,44.6,37.9,97.3,40.9,1.9
jute,5.54,28.75,932.7,90.6,20.2,41.0,108.0,57.9,3.1
grapes,5.29,24.47,482.2,40.7,16.0,55.5,100.7,49.9,9.91
chickpea,7.94,20.34,836.2,52.0,39.8,39.8,77.1,33.5,2.05
mungbean,2.98,27.71,872.2,44.0,37.8,41.2,111.1,25.3,1.13
maize,9.49,26.97,912.9,109.6,39.9,34.3,131.8,44.2,4.49
kidneybeans,6.47,20.9,523.3,86.9,22.9,36.3,71.9,34.2,2.18
maize,5.86,26.19,722.0,88.5,42.8,41.8,132.7,58.8,8.21
lentil,2.76,18.82,621.6,41.5,19.8,35.7,77.8,42.9,1.83
grapes,3.48,25.7,1161.0,62.3,23.7,58.3,93.8,37.0,9.95
watermelon,26.17,27.66,589.2,61.8,34.2,46.9,90.0,59.8,23.26
apple,7.34,17.63,771.2,35.7,37.6,56.3,112.9,26.3,14.78
coconut,11.36,22.23,982.1,68.9,24.6,20.4,75.8,65.4,8.43
chickpea,12.24,19.88,739.5,58.8,38.9,32.8,103.3,26.1,2.26
mothbeans,9.91,28.97,592.7,53.5,21.7,41.9,40.0,10.0,1.09
kidneybeans,9.25,21.39,648.5,61.8,39.2,44.3,101.0,17.6,2.31
watermelon,7.93,18.05,544.8,62.7,20.7,30.7,98.0,58.9,18.33
papaya,8.87,24.88,1091.7,98.6,31.1,59.8,185.8,54.0,39.53
orange,5.82,27.96,1141.6,69.1,34.6,50.9,126.3,58.8,10.94
pomegranate,22.37,26.77,659.9,69.3,19.3,44.7,80.3,46.3,12.95
chickpea,10.51,20.28,633.1,51.4,40.3,42.8,87.0,44.8,2.12
muskmelon,6.12,29.69,496.4,53.0,42.8,43.7,125.1,22.8,15.59
banana,10.16,31.28,1736.8,81.5,29.7,38.0,250.4,80.4,26.31
kidneybeans,5.73,15.84,419.4,58.8,52.2,28.7,113.7,32.8,1.38
lentil,7.37,17.04,745.9,37.0,36.4,37.4,87.0,14.1,1.63
mango,5.92,24.85,876.0,67.2,41.1,61.0,143.6,41.4,8.02
jute,1.37,29.09,1403.1,78.4,31.7,32.6,93.1,63.1,2.78
mango,8.49,28.83,1095.9,50.3,27.4,56.9,105.4,44.2,8.46
chickpea,5.08,22.47,886.3,55.7,40.7,30.8,93.6,26.7,1.83
orange,6.23,20.01,752.1,58.0,29.8,35.8,85.2,23.1,13.25
cotton,1.77,28.57,913.0,76.3,35.2,27.2,126.8,40.9,2.26
coconut,5.3,28.08,1574.9,51.8,30.0,57.8,96.6,59.7,11.2
pomegranate,4.66,21.22,692.3,52.7,38.4,40.5,92.1,26.6,15.03
papaya,1.9,28.54,1167.9,104.8,31.0,51.9,77.8,78.1,34.1
coffee,2.16,21.73,1671.0,51.3,34.4,40.4,110.1,77.5,2.23
pomegranate,9.08,28.16,495.3,37.8,44.8,54.3,110.2,43.5,10.24
orange,12.6,25.91,593.8,25.0,39.4,36.9,116.9,59.9,12.77
rice,7.96,29.21,763.5,85.5,37.5,54.4,130.1,73.6,4.49
watermelon,8.24,28.68,709.9,43.5,38.4,53.1,119.8,48.2,27.95
coffee,3.46,28.68,2003.4,69.8,29.5,57.3,129.4,69.2,1.96
banana,5.14,25.02,1132.1,69.9,42.0,65.4,180.4,79.9,30.5
jute,17.91,32.14,978.4,59.5,36.9,41.6,100.5,71.9,2.58
coffee,0.88,21.16,1268.4,73.4,27.8,69.9,109.4,80.2,2.41
watermelon,6.57,23.99,545.1,44.1,26.7,39.4,119.1,38.8,24.4
coconut,3.64,26.11,866.8,55.2,20.7,82.5,145.1,76.0,9.98
cotton,3.36,25.87,765.1,62.0,43.8,38.1,62.8,52.6,1.49
pomegranate,12.15,26.32,611.7,47.4,23.3,39.4,91.4,36.4,13.77
papaya,6.19,26.98,912.9,74.3,46.0,55.9,178.5,77.2,30.26
kidneybeans,6.86,21.82,819.6,37.0,38.4,43.0,83.8,45.1,1.89
kidneybeans,2.38,19.39,376.7,41.6,32.2,29.8,121.3,47.8,1.97
banana,9.08,32.57,1598.3,71.9,39.3,62.1,229.2,95.0,27.04
kidneybeans,7.79,18.99,679.9,41.2,36.9,53.4,133.0,46.4,1.76
pomegranate,2.71,24.21,927.3,85.0,40.4,44.5,116.5,26.3,13.87
mungbean,4.52,28.85,677.1,47.6,38.3,34.9,88.2,42.6,1.59
rice,3.4,22.77,1433.1,119.9,49.3,44.9,128.3,68.8,4.35
grapes,5.12,17.28,843.8,51.1,22.4,58.5,102.3,49.3,9.24
orange,5.64,27.43,367.4,65.9,32.1,43.5,51.8,41.3,14.36
orange,7.48,20.91,495.6,40.1,21.7,47.5,69.9,51.1,14.77
papaya,4.47,23.9,907.4,45.7,31.6,37.8,166.7,62.6,29.7
pigeonpeas,5.58,29.29,843.3,44.9,24.1,46.9,103.9,44.6,1.45
chickpea,30.0,14.95,814.7,42.5,27.5,31.1,94.2,18.2,2.45
cotton,6.15,33.5,703.6,126.7,47.6,50.5,131.8,46.8,1.92
mothbeans,10.81,26.1,409.0,30.3,26.4,38.1,54.9,19.9,1.0
chickpea,8.76,22.28,522.7,59.9,39.4,32.1,87.8,28.5,2.4
maize,3.48,23.79,958.5,84.6,38.1,47.7,126.8,61.0,6.44
pigeonpeas,5.59,25.2,952.9,64.8,44.0,49.6,109.1,52.5,1.65
apple,3.16,17.94,978.3,53.0,22.5,16.9,123.8,47.8,9.21
rice,5.87,29.02,1702.5,98.8,42.2,35.7,216.9,85.5,3.69
coconut,8.38,26.71,1572.5,41.7,28.7,57.7,152.4,61.9,5.07
blackgram,21.89,21.19,551.1,41.5,22.5,28.8,73.8,40.5,1.91
muskmelon,4.54,27.83,520.6,45.0,44.6,45.5,80.9,11.5,18.52
mothbeans,4.43,24.79,668.9,22.5,30.6,24.7,51.6,35.6,0.82
chickpea,9.96,16.78,524.9,43.6,35.3,33.0,40.0,26.0,2.51
orange,5.9,22.89,1269.7,45.8,38.4,57.9,120.9,49.3,13.35
papaya,5.5,23.18,1056.4,52.3,45.4,57.1,175.0,65.1,31.31
mothbeans,14.39,32.2,615.5,51.4,34.1,21.5,46.7,11.9,1.21
orange,19.82,23.37,1019.7,37.9,38.4,31.6,121.9,36.5,16.15
rice,17.4,24.14,1505.3,105.2,31.6,39.8,138.2,80.0,4.84
grapes,2.74,22.53,855.9,63.6,19.3,58.2,104.8,46.1,9.25
apple,6.71,19.2,613.9,55.8,33.6,39.8,92.9,37.4,11.08
watermelon,12.89,22.73,660.8,48.6,38.3,36.0,103.4,44.2,25.91
chickpea,6.55,20.97,794.7,52.8,42.3,36.6,56.3,28.7,2.3
mothbeans,5.06,33.52,298.2,30.2,30.6,24.6,54.9,10.0,0.78
cotton,7.66,30.68,620.6,36.7,38.8,46.8,150.7,54.3,2.23
orange,6.19,23.88,866.7,41.2,19.8,42.7,129.6,50.6,15.01
chickpea,4.61,19.4,520.0,50.1,24.8,32.3,111.8,33.7,2.4
cotton,6.18,29.73,804.3,85.1,29.7,38.7,124.5,45.2,2.36
apple,30.0,18.42,652.0,57.7,36.0,48.1,64.6,31.6,11.63
watermelon,30.0,31.93,690.1,61.5,33.6,40.5,125.8,35.8,25.64
apple,7.61,21.51,599.0,32.4,28.3,34.6,79.5,25.6,13.15
grapes,13.56,22.19,686.2,41.8,25.8,45.8,109.8,41.4,12.87
grapes,11.84,23.54,1015.6,55.2,27.6,49.7,73.0,40.5,10.26
chickpea,14.83,22.98,694.5,53.2,42.3,30.4,105.8,10.4,1.91
banana,2.76,31.06,2382.4,53.7,33.9,67.1,190.7,71.7,24.07
cotton,5.2,24.21,814.5,95.9,41.7,42.8,156.4,69.4,2.56
mungbean,2.05,26.21,646.2,25.7,29.3,23.7,96.2,35.6,1.49
kidneybeans,3.86,19.19,615.5,55.2,46.0,23.8,70.1,56.7,2.62
apple,3.92,13.87,609.8,36.4,32.5,44.1,106.2,32.2,11.88
orange,2.8,25.66,998.8,64.2,25.6,44.2,107.9,33.4,16.65
rice,5.08,23.72,1326.8,57.5,46.9,38.5,125.7,62.6,3.93
banana,4.82,31.37,1848.3,91.2,44.0,69.8,182.5,67.6,24.14
muskmelon,17.87,28.04,622.2,61.1,25.3,47.7,103.7,42.1,17.8
apple,5.82,18.67,936.7,43.9,33.1,52.1,62.1,32.6,12.47
papaya,3.61,28.4,1041.4,91.1,39.8,63.5,140.9,89.4,27.36
mango,3.05,27.12,739.1,65.5,31.8,48.6,102.6,51.7,9.34
pigeonpeas,7.21,26.22,762.4,42.4,23.8,34.2,40.1,49.7,1.55
banana,7.41,29.73,2197.0,78.0,35.0,61.9,205.6,75.3,31.34
jute,11.1,22.7,2101.7,64.0,19.2,43.2,149.2,68.6,2.56
jute,3.01,25.12,1432.3,61.3,40.1,35.2,148.9,74.0,2.35
coffee,11.28,21.59,1796.7,77.1,27.0,60.2,112.5,65.5,2.51
grapes,2.08,27.14,555.9,35.3,28.3,32.2,149.4,51.9,7.39
rice,3.67,22.29,1428.9,98.9,30.7,45.8,114.6,59.5,5.18
grapes,17.05,26.65,650.0,46.8,26.5,36.5,132.3,39.0,10.85
pomegranate,6.28,24.18,622.5,48.4,47.7,56.6,104.1,19.4,9.39
banana,12.51,22.39,1538.7,71.9,32.9,88.5,154.2,60.3,27.77
watermelon,1.34,22.93,780.5,47.6,40.5,48.6,80.2,45.7,25.53
jute,14.06,28.31,1144.1,94.6,34.6,32.3,140.1,63.5,2.87
lentil,16.94,20.16,353.2,44.7,25.0,27.7,86.2,28.2,1.36
maize,7.22,22.27,757.4,90.8,47.2,48.2,110.4,41.8,5.88
coffee,11.85,24.29,1223.0,82.3,33.9,37.1,130.5,58.9,1.96
rice,21.09,27.52,864.2,56.3,47.6,45.6,177.6,61.5,2.66
mothbeans,6.02,34.24,306.9,30.1,14.6,19.6,69.4,36.9,0.7
watermelon,10.28,31.67,712.6,85.7,23.1,48.3,108.7,29.2,25.83
cotton,4.83,25.53,658.5,80.5,44.8,45.0,125.8,68.2,2.33
jute,10.78,32.44,1476.1,99.9,34.5,35.9,116.6,67.9,3.35
mungbean,3.5,23.72,489.4,32.2,33.1,45.9,71.1,21.2,0.94
banana,6.28,26.7,1956.4,88.8,31.0,50.5,225.8,95.0,25.89
orange,4.1,22.39,820.7,35.1,33.1,42.4,40.0,69.1,13.08
blackgram,3.17,28.92,950.6,48.1,34.8,35.4,56.2,37.0,1.62
chickpea,8.93,26.63,461.7,27.8,30.0,43.5,94.6,22.1,1.97
watermelon,11.96,30.65,615.9,40.9,22.9,51.3,108.0,53.2,25.93
pigeonpeas,9.59,26.61,923.1,33.2,31.9,37.2,95.5,43.6,2.15
rice,5.41,27.7,1238.2,76.1,47.1,18.8,108.8,60.9,5.87
pomegranate,5.22,26.27,621.0,41.9,28.1,38.8,114.2,38.2,13.55
mango,6.99,24.81,615.7,66.0,19.2,65.4,98.3,59.6,7.07
muskmelon,18.67,28.23,560.7,53.2,33.8,23.2,128.3,38.8,18.93
coconut,8.92,33.55,1454.4,73.3,27.1,59.0,146.5,44.3,7.34
mango,5.14,20.29,974.4,56.4,33.0,41.0,64.0,26.2,8.07
pigeonpeas,2.69,27.3,1025.9,60.3,38.3,46.0,44.5,57.3,1.65
chickpea,10.29,19.94,816.7,33.5,32.9,23.7,75.1,47.9,2.2
grapes,2.48,25.68,578.1,68.0,12.9,51.4,87.1,48.0,9.0
chickpea,30.0,21.4,954.9,38.4,17.1,44.9,72.5,10.0,1.93
kidneybeans,12.18,22.45,703.3,54.5,36.1,33.4,130.9,48.6,1.85
orange,4.84,20.35,877.2,51.7,27.8,25.8,52.4,45.7,16.51
mothbeans,3.03,23.97,492.2,27.3,34.7,18.6,47.7,29.0,1.25
jute,14.09,19.91,1582.8,60.6,32.9,50.8,132.6,56.9,2.75
lentil,3.83,22.06,583.3,48.1,28.4,36.7,90.1,29.0,1.93
muskmelon,7.92,27.54,343.2,64.9,26.4,53.5,95.2,39.9,13.73
blackgram,3.41,32.72,745.3,23.1,17.9,22.8,119.7,31.4,0.94
papaya,8.02,28.91,1131.4,86.8,35.3,56.7,147.4,67.4,27.71
chickpea,30.0,22.12,645.8,56.1,38.3,23.3,121.9,40.6,2.44
muskmelon,5.49,29.21,749.7,58.1,36.9,42.9,122.4,41.4,13.12
banana,14.79,26.81,904.2,81.7,34.0,80.6,222.8,74.8,31.87
chickpea,3.77,19.95,628.3,42.1,42.6,38.4,87.3,31.0,2.18
chickpea,10.74,22.5,346.7,51.2,33.4,49.4,83.4,28.9,2.36
lentil,4.92,12.52,595.0,48.4,29.4,26.9,69.3,30.3,1.62
coconut,4.67,29.24,1534.8,50.7,29.8,40.5,123.0,64.6,7.87
cotton,5.63,30.6,679.5,99.0,49.5,39.8,153.3,62.1,2.04
coconut,30.0,26.41,1629.8,59.8,33.9,69.9,94.1,73.6,7.85
jute,6.16,33.34,1231.3,94.7,38.1,27.1,133.6,60.6,2.21
maize,2.35,27.78,670.8,56.1,48.6,36.5,173.1,57.2,8.0
orange,8.09,28.0,945.1,58.6,21.8,50.5,98.2,17.5,13.03
maize,3.89,27.84,649.6,83.2,60.0,38.8,118.9,39.6,6.16
coffee,5.87,24.09,1756.6,81.5,36.5,47.0,112.2,74.4,2.69
jute,7.96,26.69,1057.1,82.1,36.8,36.9,103.1,55.1,3.1
maize,7.48,24.15,360.3,76.6,43.1,44.4,160.6,65.6,6.16
coconut,3.54,29.02,1926.5,63.8,26.6,46.4,119.5,58.7,9.55
watermelon,2.73,27.49,312.2,60.7,28.1,48.9,121.4,37.2,28.11
pigeonpeas,13.27,29.07,1069.9,47.3,36.2,44.3,81.4,38.5,2.09
apple,2.16,12.66,1000.7,41.4,23.0,28.5,104.9,40.2,14.92
mothbeans,15.13,27.14,352.0,25.8,23.4,11.4,89.7,33.9,0.68
lentil,12.21,22.37,524.8,35.9,21.2,31.5,72.1,29.7,1.76
grapes,17.12,28.98,580.6,54.3,43.0,34.0,93.6,50.5,10.66
apple,8.69,18.26,951.3,51.2,23.2,47.9,120.2,34.1,12.49
lentil,3.18,20.66,523.3,43.8,33.2,31.2,55.6,11.0,1.16
grapes,17.23,25.45,795.5,42.3,33.5,45.6,93.9,31.8,7.59
muskmelon,3.7,32.97,557.6,68.7,22.0,40.7,152.2,23.0,22.24
watermelon,10.78,28.44,780.3,72.0,22.9,65.4,127.0,31.3,20.83
coconut,13.03,28.3,1237.5,44.4,23.6,64.1,116.1,84.4,7.23
kidneybeans,6.98,20.43,877.0,54.0,17.8,24.9,105.0,39.6,2.46
papaya,4.36,20.94,1475.9,89.5,31.6,63.0,112.1,59.7,25.25
coffee,14.29,20.66,1799.1,64.8,21.7,35.8,95.0,64.9,2.44
maize,8.27,25.04,628.9,104.1,45.8,47.8,145.1,46.7,6.01
mango,6.4,26.87,1101.6,56.0,45.0,56.0,91.3,48.6,8.62
blackgram,9.06,23.5,785.3,54.4,21.8,32.3,57.3,35.7,1.69
maize,3.77,22.31,1031.9,79.0,69.7,34.8,114.2,70.7,5.98
rice,9.62,29.75,1284.0,71.3,36.5,30.5,100.9,69.6,4.94
orange,10.17,23.69,964.1,55.0,28.1,36.5,51.1,38.2,17.27
chickpea,13.63,24.71,801.1,37.2,30.4,30.2,77.8,49.3,1.43
grapes,4.33,25.01,688.7,42.6,27.4,34.1,89.6,46.9,6.77
apple,9.19,16.37,707.4,53.0,30.6,37.0,100.1,61.8,14.08
banana,14.61,25.83,1481.2,96.2,27.6,65.9,187.4,95.0,28.05
watermelon,4.82,31.75,553.5,71.0,32.9,36.8,121.9,44.6,25.74
mothbeans,3.41,30.94,528.1,39.4,26.9,20.9,45.3,28.7,1.71
blackgram,19.28,29.26,592.1,27.7,29.7,27.1,66.1,41.2,1.6
rice,21.44,26.49,791.4,45.6,40.3,53.5,156.3,78.6,3.9
chickpea,16.51,21.97,493.9,42.0,26.5,29.2,108.8,30.3,1.88
coffee,17.01,22.39,1778.0,73.5,31.3,33.8,85.0,49.8,1.88
grapes,4.93,23.76,1054.6,55.7,26.9,51.9,105.7,27.2,8.27
mungbean,3.74,28.96,814.7,49.1,31.6,30.0,64.8,16.0,1.41
jute,10.44,32.62,1129.5,99.7,32.9,25.1,97.9,54.4,2.42
blackgram,7.12,28.91,873.3,42.1,21.3,35.4,117.5,59.7,1.04
rice,9.12,26.87,1299.9,64.3,37.6,40.8,210.3,75.0,5.19
blackgram,10.79,28.54,833.6,32.2,38.6,22.4,71.7,30.7,1.55
maize,5.02,27.43,655.2,105.4,53.0,23.7,119.0,52.7,6.52
blackgram,2.72,26.0,604.9,43.2,36.2,32.5,103.8,35.3,1.65
kidneybeans,1.27,18.65,438.4,54.1,43.3,41.7,92.4,34.5,2.49
pomegranate,12.99,24.8,509.5,84.4,27.4,47.6,75.0,25.1,12.29
coconut,3.51,25.19,1163.8,43.5,26.7,67.1,117.5,81.3,7.57
cotton,7.72,27.5,729.9,82.8,30.5,52.9,152.4,60.5,2.47
maize,12.43,20.86,752.3,101.2,32.2,33.5,164.8,64.0,6.77
papaya,6.84,29.43,1581.8,78.9,35.2,49.5,180.5,77.2,32.89
jute,4.09,24.43,1215.5,92.6,27.5,26.4,140.0,93.8,3.12
pigeonpeas,5.52,25.48,639.4,52.4,41.5,46.2,66.7,49.5,1.29
coconut,7.56,23.92,1427.4,66.8,30.3,68.5,151.4,65.6,7.26
mothbeans,7.58,31.79,409.3,42.2,24.1,27.6,78.2,26.2,1.33
cotton,2.55,30.25,866.9,89.4,38.4,51.7,119.8,54.6,2.31
coffee,10.55,25.92,880.4,33.8,41.0,35.7,105.8,75.9,1.87
banana,6.79,29.49,1259.0,48.0,29.2,65.5,167.8,95.0,26.73
mungbean,9.44,29.91,755.7,41.7,25.0,48.1,40.0,17.9,1.33
grapes,10.37,26.48,502.5,41.0,38.1,53.4,97.4,46.5,9.55
coconut,6.46,25.73,1527.6,53.5,32.5,58.5,131.0,91.4,8.56
coconut,5.04,31.15,1851.3,62.6,40.0,56.6,138.9,69.4,7.92
grapes,4.61,21.0,668.2,68.3,34.4,44.5,121.3,46.3,11.25
kidneybeans,6.02,28.7,555.9,72.0,42.8,41.4,104.2,53.2,1.56
pomegranate,4.17,25.26,595.4,45.5,35.2,33.3,108.8,38.2,15.4
pigeonpeas,8.86,34.65,934.7,47.7,43.3,32.7,110.5,49.6,1.85
rice,6.58,27.55,1507.6,104.2,39.1,45.3,142.2,74.9,5.05
papaya,8.35,22.54,1476.3,73.1,39.8,73.6,129.4,85.1,28.34
kidneybeans,17.51,12.0,603.9,49.3,39.6,33.7,92.7,33.1,1.91
mango,3.93,22.4,1422.5,54.5,24.6,38.3,115.2,38.4,8.76
rice,12.63,27.7,1473.1,89.2,34.5,40.3,137.4,89.7,5.59
pigeonpeas,1.73,21.82,1310.8,69.6,38.8,41.5,83.7,49.9,1.67
pigeonpeas,4.67,29.17,1282.5,60.9,34.6,25.5,41.1,33.2,1.99
mothbeans,6.14,25.16,423.2,35.2,25.0,29.9,42.3,13.9,1.3
blackgram,5.72,32.67,980.9,55.9,38.0,25.6,90.6,40.6,1.27
coconut,7.27,23.12,1678.5,59.9,36.7,57.2,106.2,72.4,7.19
pigeonpeas,5.15,28.03,857.6,55.8,18.7,32.3,80.1,39.6,1.55
coconut,15.92,20.78,1917.4,57.6,29.0,60.5,87.5,48.0,5.7
watermelon,5.78,26.87,575.6,41.5,34.1,47.2,110.5,51.1,29.67
kidneybeans,2.58,19.69,666.4,51.8,40.7,32.9,108.5,26.3,2.1
papaya,15.49,27.69,817.9,79.8,25.2,70.1,107.7,56.3,47.57
maize,4.99,24.68,857.1,96.1,37.7,32.0,147.0,77.2,7.46
pomegranate,3.93,25.09,380.2,51.2,38.4,39.4,74.6,49.7,9.96
mothbeans,4.09,31.08,437.9,38.7,32.2,37.6,84.0,19.5,1.38
maize,2.79,25.38,481.2,75.1,43.4,46.2,126.8,66.9,5.87
orange,7.64,20.8,1247.3,43.4,21.6,35.0,97.9,52.2,11.51
pomegranate,4.17,29.37,750.7,53.3,34.0,66.7,109.5,55.0,11.49
papaya,11.51,23.21,1407.6,82.3,38.7,71.4,120.6,78.9,34.05
grapes,15.2,30.91,468.8,38.0,22.6,27.4,65.7,45.6,9.88
mungbean,4.17,26.65,757.8,39.6,39.5,34.8,40.0,27.0,1.33
muskmelon,4.66,28.34,418.6,54.6,40.5,38.8,135.2,41.0,16.09
apple,2.27,18.66,537.4,43.7,24.2,39.5,99.8,32.8,13.46
apple,3.51,16.46,1137.1,45.3,33.5,46.6,89.4,17.9,13.97
coconut,2.84,32.76,1692.3,65.2,27.4,43.9,154.3,56.0,7.4
papaya,7.03,23.01,602.9,60.1,43.0,64.1,148.7,75.4,32.08
banana,4.92,31.52,1164.1,88.3,33.2,82.2,194.7,81.2,24.63
blackgram,3.95,27.68,660.2,41.0,22.8,37.8,68.8,43.6,1.15
jute,1.75,26.91,1452.9,84.6,39.6,41.7,113.6,50.2,2.69
papaya,6.09,26.32,1153.1,88.0,34.1,67.0,149.4,60.8,40.71
watermelon,6.6,26.87,480.2,45.0,36.2,40.2,135.3,50.9,31.46
jute,5.88,26.24,1181.1,74.7,31.5,51.6,119.5,56.2,2.15
coffee,6.51,20.44,1134.2,79.8,37.3,43.5,127.4,79.8,2.85
lentil,8.15,19.77,639.5,65.2,22.2,24.6,109.2,10.0,1.45
blackgram,11.6,28.21,733.3,37.0,28.7,23.2,96.1,36.5,1.94
jute,5.36,27.81,969.4,58.6,40.5,42.0,150.4,64.6,2.79
rice,4.33,25.8,1100.2,91.4,50.6,39.1,172.9,68.0,5.1
maize,7.01,27.37,782.2,114.3,52.8,25.8,138.5,49.7,5.95
blackgram,3.94,21.9,666.4,50.5,31.6,38.6,42.3,35.9,1.65
rice,3.08,24.1,1436.5,82.6,50.9,48.1,179.7,72.7,4.36
banana,4.51,26.46,1405.2,102.2,30.1,62.7,135.1,80.9,28.25
chickpea,5.16,21.8,309.4,52.0,40.4,33.2,101.1,32.7,2.54
orange,7.8,19.12,764.8,44.8,31.9,42.6,66.3,54.7,13.88
jute,5.87,24.06,1155.2,56.0,32.5,47.3,153.3,87.7,3.08
mothbeans,7.45,28.79,250.0,33.3,40.2,21.0,78.9,44.7,1.12
muskmelon,5.31,25.74,393.6,67.4,38.5,34.1,111.1,56.8,20.21
watermelon,0.71,25.09,561.7,53.0,24.9,43.9,107.6,40.3,29.8
watermelon,6.26,26.33,761.7,45.0,42.4,59.3,129.4,55.6,27.49
blackgram,2.9,27.1,975.7,50.0,12.9,25.4,78.3,41.2,1.67
papaya,5.58,22.66,1094.2,72.1,32.9,49.1,237.3,75.2,36.96
pigeonpeas,3.57,28.6,654.5,33.1,37.9,52.6,85.5,39.1,2.33
orange,9.38,24.45,747.2,54.8,31.9,41.5,85.2,30.8,13.66
grapes,4.99,24.83,935.8,44.6,28.1,56.4,105.8,60.6,7.46
papaya,12.46,26.87,1279.1,91.8,34.1,61.7,120.7,69.6,33.8
mothbeans,5.96,27.54,606.7,53.8,35.4,30.3,40.0,42.8,1.47
maize,9.23,29.25,720.1,88.4,42.8,34.2,138.5,50.3,5.68
papaya,5.84,27.88,1467.2,72.1,40.3,52.4,175.1,77.8,29.33
banana,6.2,27.21,1922.3,90.7,40.4,47.9,170.0,76.4,25.33
maize,2.16,25.17,499.1,77.6,66.5,34.5,79.7,57.4,5.75
papaya,4.95,30.64,1131.5,88.9,29.9,57.8,151.0,65.4,33.35
jute,5.44,26.58,1595.7,89.7,39.3,40.5,109.0,76.3,1.71
kidneybeans,2.81,15.07,562.3,36.2,33.7,35.6,108.3,24.0,1.94
banana,3.03,27.53,1089.6,80.1,36.7,73.3,228.2,84.8,26.55
rice,2.29,26.84,1606.1,97.6,54.7,37.8,97.4,53.9,3.76
rice,6.58,26.08,1001.4,88.4,32.4,35.5,161.3,83.1,3.74
apple,7.29,18.0,831.1,41.7,31.0,42.9,71.5,24.6,11.31
chickpea,20.35,26.12,467.9,64.9,40.3,40.2,53.0,41.6,2.23
rice,14.02,26.51,1301.2,90.8,35.5,30.6,128.9,73.0,4.96
coconut,12.73,28.49,1794.2,52.6,33.4,42.8,78.6,61.1,9.01
muskmelon,7.65,26.33,455.3,68.2,31.7,32.6,120.8,77.2,14.29
watermelon,14.25,27.25,619.1,60.5,24.3,45.7,98.7,34.5,35.4
pomegranate,4.23,19.21,732.9,49.3,29.1,43.6,131.2,53.9,9.5
orange,1.31,24.57,827.0,49.8,30.9,47.4,111.4,21.3,14.07
chickpea,6.39,21.81,473.0,62.2,33.0,30.5,106.2,12.6,1.62
blackgram,11.81,24.95,777.0,27.3,30.5,31.0,60.3,41.1,1.64
cotton,20.44,27.65,971.8,77.9,20.5,40.0,121.5,50.1,2.2
orange,7.83,21.03,1195.5,51.0,33.4,44.3,111.4,31.4,11.92
apple,4.07,14.94,836.8,37.7,25.7,30.3,67.9,25.7,11.62
muskmelon,2.74,24.68,650.9,54.3,21.9,49.8,45.2,42.8,19.21
grapes,5.42,24.74,724.9,54.5,26.2,43.0,116.7,29.6,10.42
orange,2.87,21.41,771.2,51.3,33.4,46.9,137.7,63.5,13.89
